šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5970,ENELOOP MQNO4 PUNJAČ ZA BATERIJE,BATERIJA,5,55.20,89.66,89.00,32.00
5971,TRANSMEDIA 3.5mm-2CHINCH 2m,AUDIOVIDEO PROGRAM,3,8.51,276.18,30.00,25.00
5972,AC ADAPTER KW006,AUDIOVIDEO PROGRAM,0,0.00,0.00,125.00,0.00
5973,AC SP4-45A,AUDIOVIDEO PROGRAM,0,130.90,0.00,233.00,0.00
5974,ALCATEL OT-918D MIX CRNI,MOBITELI,0,0.00,0.00,999.00,0.00
5975,NAVIATEC USB PRODUŽNI 2m,PC,5,2.24,614.29,20.00,0.00
5976,DAIKIN FTX35/RX35 COMFORT,KLIMA,1,3800.00,55.00,7362.50,0.00
5977,GORENJE GS53314XS,AUDIOVIDEO PROGRAM,0,0.00,0.00,3152.00,0.00
5978,ASUS PCE-N10 WIRELESS-N ADAPTER,PC,1,111.15,58.18,189.00,14.00
5979,MAX MOBILE  IPHONE 5 USB KABEL,MOBITELI,6,27.00,251.61,89.00,25.00
5980,LENOVO IDEAPHONE A820,MOBITELI,2,1079.00,44.79,1699.00,13.00
5981,TOSHIBA SATELLITE C850-1GF,PC,1,2250.00,24.41,3499.00,0.00
5982,LG E2242C-BN MONITOR,PC,1,799.99,29.08,1099.00,14.86
5983,"MSI LB-03 15.6"" TORBA",PC,0,0.00,0.00,199.00,0.00
5984,EPSON TINTA T291 BLACK ZAMJENSKA,PRINTER,2,14.90,109.40,39.00,0.00
5985,EPSON TINTA T292 CYAN ZAMJENSKA,PRINTER,2,13.00,380.00,39.00,50.00
5986,EPSON TINTA T293 MAGENTA ZAMJENSKA,PRINTER,3,13.00,380.00,39.00,50.00
5987,EPSON TINTA T294 YELLOW ZAMJENSKA,PRINTER,3,13.00,380.00,39.00,50.00
5988,VIVAX SMART POINT X45 GRAY,MOBITELI,-1,535.00,49.38,999.00,0.00
5989,VIVAX SMART POINT X45 WHITE,MOBITELI,2,535.00,49.38,999.00,0.00
5990,TVT HAP WINTV MINISTICK HD,PC,1,263.00,36.58,449.00,0.00
5991,PALIT NVIDIA GEFORCE210 SUPERSILENT,PC,1,237.60,36.64,349.00,14.00
5992,MEANIT UNIV.SLUŠALICE BIJELE,AUDIOVIDEO PROGRAM,1,55.44,42.86,99.00,0.00
5993,MEANIT UNIV.SLUŠALICE ROZE,AUDIOVIDEO PROGRAM,3,55.44,56.99,99.00,9.00
